loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|label
2021-03-04 23:18:13.109 +0000|234959.0854789167|-0.2378082275390625|0.2046051025390625|-0.8813323974609375|234959.0655169167|2.832943609246015|-0.3919719565296292|-0.2271362913704188|-0.2766737937927246|-0.1377320438623428|-0.7093431353569031|0.1343457102775574|0.07531830668449402|0.02264368534088135|XArbitraryZVertical|-0.1740939925591294|0.1395739218912822|-0.9663478671601946|-0.1279930086027178|-0.372199684381485|0.2251883000135422|-0.9004207849502563|0|0|0|-1|-1|3
2021-03-04 23:18:13.121 +0000|234959.1054409167|-0.245391845703125|0.223236083984375|-0.888214111328125|234959.0854789167|2.817079511148869|-0.3963870808612613|-0.2295612694938295|-0.3959652185440063|-0.2015948444604874|-0.714703381061554|0.1713545322418213|-0.007976368069648743|0.0274432897567749|XArbitraryZVertical|-0.1748943325017553|0.1424106668217071|-0.9648226783629386|-0.1350865887056766|-0.375959575176239|0.2275503277778625|-0.8982623219490051|0|0|0|-1|-1|3
2021-03-04 23:18:13.123 +0000|234959.1254029167|-0.240203857421875|0.300506591796875|-0.884918212890625|234959.1054409167|2.800850043399524|-0.4009541686433181|-0.2342624725570829|-0.4601518213748932|-0.1609381288290024|-0.7738572359085083|0.1217018067836761|0.0209718644618988|0.01413244009017944|XArbitraryZVertical|-0.1754918312531651|0.1463968943799725|-0.9631117085841162|-0.1420791485401889|-0.3796363770961761|0.2321256697177887|-0.8955411314964294|0|0|0|-1|-1|3
2021-03-04 23:18:13.141 +0000|234959.1453639167|-0.228759765625|0.3165740966796875|-0.88446044921875|234959.1254029167|2.783387429795271|-0.4064291648130727|-0.2383582368624301|-0.3999525308609009|-0.2085247039794922|-0.7792925834655762|0.1956323385238647|-0.003227949142456055|-0.007684886455535889|XArbitraryZVertical|-0.1764365338077248|0.150286182549104|-0.9611943781965515|-0.1496313334941298|-0.3841546475887299|0.2361076027154922|-0.8925684094429016|0|0|0|-1|-1|3
2021-03-04 23:18:13.161 +0000|234959.1653259167|-0.2188720703125|0.2905426025390625|-0.906982421875|234959.1453639167|2.766642761519838|-0.411451737121298|-0.2406956987859986|-0.3372069001197815|-0.1802219152450562|-0.7490242123603821|0.145994633436203|0.08712217211723328|0.009244859218597412|XArbitraryZVertical|-0.1773424182506596|0.1532642326219584|-0.9593749704798112|-0.1570335240297982|-0.3884109854698181|0.2383783310651779|-0.8901194930076599|0|0|0|-1|-1|3
2021-03-04 23:18:13.181 +0000|234959.1852879167|-0.3391265869140625|0.319000244140625|-0.907562255859375|234959.1653259167|2.74991484142422|-0.4170575246509983|-0.2412245973385919|-0.4054003953933716|-0.3287074863910675|-0.794803261756897|0.1742273569107056|0.07940641045570374|-0.00148475170135498|XArbitraryZVertical|-0.1786824762830185|0.1554548162337314|-0.9575107703400479|-0.1645583190883424|-0.3933435678482056|0.2388919442892075|-0.8878127336502075|0|0|0|-1|-1|3
2021-03-04 23:18:13.200 +0000|234959.2052499167|-0.4478912353515625|0.319671630859375|-0.898834228515625|234959.1852879167|2.731504270869863|-0.4265103284880734|-0.2434282717824303|-0.5499724745750427|-0.4291611313819885|-0.8156409859657288|0.1204783320426941|0.0975307822227478|-0.02380561828613281|XArbitraryZVertical|-0.1815149040116353|0.1589515177362542|-0.9550267100787633|-0.1723678196599704|-0.4014994204044342|0.2410312294960022|-0.8835735321044922|0|0|0|-1|-1|3
2021-03-04 23:18:13.220 +0000|234959.2252119167|-0.491729736328125|0.3470611572265625|-0.899749755859375|234959.2052499167|2.711093111619266|-0.436320926658082|-0.247841148483228|-0.7474305033683777|-0.4040220975875854|-0.8893534541130066|0.004390895366668701|0.07109461724758148|-0.02702009677886963|XArbitraryZVertical|-0.1840431214019959|0.1637630935639781|-0.9521675014433272|-0.1807949801383312|-0.4096948504447937|0.2453116476535797|-0.8786195516586304|0|0|0|-1|-1|3
2021-03-04 23:18:13.240 +0000|234959.2451739167|-0.5308074951171875|0.4240875244140625|-0.8916473388671875|234959.2252119167|2.686987404167044|-0.4468029473881854|-0.2568838901317248|-0.9175819158554077|-0.3757645785808563|-0.9673286080360413|-0.05282732844352722|0.06519168615341187|-0.02258044481277466|XArbitraryZVertical|-0.1859235087515912|0.1712077707040963|-0.9486354630096601|-0.1902922198101176|-0.4179062843322754|0.2540679275989532|-0.8722407221794128|0|0|0|-1|-1|3
2021-03-04 23:18:13.260 +0000|234959.2651359167|-0.522552490234375|0.42889404296875|-0.856689453125|234959.2451739167|2.662509953271142|-0.4582834566344546|-0.2651750551812278|-0.7736719846725464|-0.2961773872375488|-0.8706148266792297|-0.07873058319091797|0.130530446767807|-0.03489351272583008|XArbitraryZVertical|-0.1881740711463308|0.1784858919881376|-0.9448759548371723|-0.1998570956083837|-0.4269456565380096|0.262078195810318|-0.8654665946960449|0|0|0|-1|-1|3
