loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|altimeterTimestamp_sinceReboot(s)|altimeterReset(bool)|altimeterRelativeAltitude(m)|altimeterPressure(kPa)|label
2021-02-11 18:52:52.799 +0000|34956.074324375|-0.41845703125|0.3242034912109375|-0.8146209716796875|34956.069334375|2.84726316802989|-0.5505593854064034|-0.2981542909414115|0.1656392812728882|-0.4263375699520111|0.1192637979984283|0.09586155414581299|0.02771574258804321|0.005168318748474121|XArbitraryZVertical|-0.2449368066059432|0.1808039058093906|-0.9473084764929106|-0.09961286485242218|-0.5000821948051453|0.2937564253807068|-0.8146318197250366|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.819 +0000|34956.094285375|-0.426727294921875|0.316192626953125|-0.8332061767578125|34956.089295375|2.850944134602992|-0.5573236445514321|-0.2972147133791618|0.1024133116006851|-0.5114874243736267|0.06725367903709412|0.08806324005126953|0.02701181173324585|-0.01388347148895264|XArbitraryZVertical|-0.2485559213429644|0.1802435804460415|-0.9467030540629758|-0.09739481972704675|-0.5057268738746643|0.2928581833839417|-0.8114644289016724|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.839 +0000|34956.114246375|-0.4400787353515625|0.3173828125|-0.841888427734375|34956.109256375|2.853363612771712|-0.5653010596708704|-0.2963543339094938|0.1115081235766411|-0.524692177772522|0.02247724309563637|0.07179754972457886|0.02246350049972534|-0.0293278694152832|XArbitraryZVertical|-0.2526246449731664|0.1799234505955361|-0.9458636742299149|-0.09565713482324292|-0.5123188495635986|0.2920354008674622|-0.8076167106628418|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.859 +0000|34956.134208375|-0.442626953125|0.30621337890625|-0.841522216796875|34956.129217375|2.855235355996517|-0.5736102895282553|-0.2944519704943957|0.139020249247551|-0.5468332767486572|-0.04218714684247971|0.09067761898040771|0.02783876657485962|-0.03966295719146729|XArbitraryZVertical|-0.256888739124278|0.179191621816514|-0.944989329534611|-0.0943071514099556|-0.51931232213974|0.2902154624462128|-0.8037970662117004|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.878 +0000|34956.154169375|-0.45330810546875|0.2849273681640625|-0.838531494140625|34956.149178375|2.856271884666517|-0.5818303714550429|-0.2922934323524288|0.1366512924432755|-0.508551299571991|-0.08654165267944336|0.07632428407669067|0.005307883024215698|-0.04128587245941162|XArbitraryZVertical|-0.2610537485358591|0.1784365494413595|-0.9440799214515214|-0.09340526382206328|-0.5262450575828552|0.2881491482257843|-0.8000226616859436|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.898 +0000|34956.174130375|-0.435699462890625|0.263092041015625|-0.823486328125|34956.169140375|2.856758509814965|-0.5893112671818732|-0.2901374872512896|0.1067377030849457|-0.468325138092041|-0.09406943619251251|0.0861021876335144|-0.009747296571731567|-0.03613972663879395|XArbitraryZVertical|-0.2648165179538303|0.1777164793320995|-0.9432235560959238|-0.09283554305178336|-0.5325591564178467|0.2860839664936066|-0.7965781092643738|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.918 +0000|34956.194091375|-0.400726318359375|0.268341064453125|-0.803192138671875|34956.189101375|2.856712667287458|-0.5964220241272205|-0.2882422643912616|0.07990302890539169|-0.4656652212142944|-0.1062136217951775|0.1206820607185364|-0.02355575561523438|-0.01952582597732544|XArbitraryZVertical|-0.2683312273033719|0.1771700056036309|-0.942364040836331|-0.09251595582764785|-0.5385134816169739|0.2842674553394318|-0.7932182550430298|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.938 +0000|34956.214052375|-0.3917999267578125|0.2865142822265625|-0.7907867431640625|34956.209062375|2.856659319058308|-0.6039913815183288|-0.2863114128445467|0.09624320268630981|-0.5299129486083984|-0.1061694994568825|0.1544319987297058|-0.00389707088470459|-0.009456753730773926|XArbitraryZVertical|-0.272061309464683|0.1766289645593414|-0.9414295859602508|-0.09216993085410151|-0.5448129177093506|0.2824157178401947|-0.7895696759223938|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.959 +0000|34956.234013375|-0.4495697021484375|0.2953948974609375|-0.785369873046875|34956.229023375|2.856524198300423|-0.6131945411914063|-0.2839210037273788|0.08030638843774796|-0.6102333664894104|-0.1195409670472145|0.1385637521743774|0.006834983825683594|-0.001655697822570801|XArbitraryZVertical|-0.2765894680411984|0.1759607028870936|-0.9402710625781429|-0.0917961519418261|-0.5524432063102722|0.2801218032836914|-0.7850722074508667|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
2021-02-11 18:52:52.978 +0000|34956.253974375|-0.5344696044921875|0.2909088134765625|-0.77923583984375|34956.248984375|2.855840322258691|-0.6238612484229704|-0.2815338210128902|0.03666021302342415|-0.6647868156433105|-0.1304438710212708|0.07899695634841919|0.01698565483093262|-0.004595816135406494|XArbitraryZVertical|-0.2817511956419245|0.1754382100553369|-0.9388581615363341|-0.09155911594286678|-0.561174750328064|0.2778294086456299|-0.7796754240989685|0|0|0|-1|-1|634762372.43344|0|5.150009|99.95165|3
